"_id","station_id","variable_id","reftime","value","v_flag"
420239,4000022,"PM10","06/26/2024 00:00",12,"S"
421509,4000022,"PM10","06/27/2024 00:00",15,"S"
422981,4000022,"PM10","06/28/2024 00:00",13,"S"
433856,4000022,"PM10","06/29/2024 00:00",22,"S"
435265,4000022,"PM10","06/30/2024 00:00",32,"S"
443448,4000022,"PM10","07/01/2024 00:00",18,"S"
443449,4000022,"PM10","07/02/2024 00:00",19,"M"
449789,4000022,"PM10","07/03/2024 00:00",9,"M"
452693,4000022,"PM10","07/05/2024 00:00",11,"M"
454985,4000022,"PM10","07/06/2024 00:00",15,"M"
454986,4000022,"PM10","07/07/2024 00:00",17,"M"
463056,4000022,"PM10","07/08/2024 00:00",19,"M"
463057,4000022,"PM10","07/09/2024 00:00",25,"M"
479360,4000022,"PM10","07/10/2024 00:00",28,"M"
479361,4000022,"PM10","07/11/2024 00:00",26,"M"
482890,4000022,"PM10","07/12/2024 00:00",27,"M"
487041,4000022,"PM10","07/13/2024 00:00",25,"M"
489341,4000022,"PM10","07/14/2024 00:00",22,"M"
494653,4000022,"PM10","07/15/2024 00:00",12,"M"
495713,4000022,"PM10","07/16/2024 00:00",21,"M"
497177,4000022,"PM10","07/17/2024 00:00",22,"M"
506326,4000022,"PM10","07/18/2024 00:00",21,"M"
507663,4000022,"PM10","07/19/2024 00:00",24,"M"
509202,4000022,"PM10","07/20/2024 00:00",29,"M"
518680,4000022,"PM10","07/21/2024 00:00",13,"M"
518681,4000022,"PM10","07/22/2024 00:00",14,"M"
524760,4000022,"PM10","07/23/2024 00:00",22,"M"
529266,4000022,"PM10","07/24/2024 00:00",20,"M"
529977,4000022,"PM10","07/25/2024 00:00",34,"M"
537042,4000022,"PM10","07/26/2024 00:00",19,"M"
540975,4000022,"PM10","07/27/2024 00:00",16,"M"
540976,4000022,"PM10","07/28/2024 00:00",20,"M"
544997,4000022,"PM10","07/29/2024 00:00",22,"M"
549415,4000022,"PM10","08/02/2024 00:00",30,"M"
564559,4000022,"PM10","08/03/2024 00:00",25,"M"
566249,4000022,"PM10","08/04/2024 00:00",21,"M"
567785,4000022,"PM10","08/05/2024 00:00",16,"M"
569309,4000022,"PM10","08/06/2024 00:00",17,"M"
570669,4000022,"PM10","08/07/2024 00:00",19,"M"
572748,4000022,"PM10","08/08/2024 00:00",25,"M"
574807,4000022,"PM10","08/09/2024 00:00",17,"M"
574808,4000022,"PM10","08/10/2024 00:00",22,"M"
576518,4000022,"PM10","08/11/2024 00:00",21,"M"
578819,4000022,"PM10","08/12/2024 00:00",18,"M"
605178,4000022,"PM10","08/13/2024 00:00",19,"M"
606809,4000022,"PM10","08/14/2024 00:00",14,"M"
607976,4000022,"PM10","08/15/2024 00:00",21,"M"
609661,4000022,"PM10","08/16/2024 00:00",20,"M"
614521,4000022,"PM10","08/17/2024 00:00",24,"M"
616446,4000022,"PM10","08/18/2024 00:00",23,"M"
618066,4000022,"PM10","08/19/2024 00:00",17,"M"
632605,4000022,"PM10","08/20/2024 00:00",14,"M"
636075,4000022,"PM10","08/21/2024 00:00",16,"M"
639821,4000022,"PM10","08/22/2024 00:00",21,"M"
644195,4000022,"PM10","08/23/2024 00:00",26,"M"
645387,4000022,"PM10","08/24/2024 00:00",23,"M"
649429,4000022,"PM10","08/25/2024 00:00",21,"M"
655310,4000022,"PM10","08/26/2024 00:00",16,"M"
656377,4000022,"PM10","08/27/2024 00:00",27,"M"
658213,4000022,"PM10","08/28/2024 00:00",30,"M"
664776,4000022,"PM10","08/29/2024 00:00",28,"M"
670785,4000022,"PM10","08/30/2024 00:00",27,"M"
671825,4000022,"PM10","08/31/2024 00:00",28,"M"
675859,4000022,"PM10","09/01/2024 00:00",29,"M"
681464,4000022,"PM10","09/02/2024 00:00",27,"M"
