pferrari_id,city,data,Location_1,value_pferrari,giardini_id,location_2,value_giardini
4000022,MODENA,2025-03-14,PARCO FERRARI,6,4000002,VIA GIARDINI,6
4000022,MODENA,2025-03-15,PARCO FERRARI,11,4000002,VIA GIARDINI,13
4000022,MODENA,2025-03-16,PARCO FERRARI,18,4000002,VIA GIARDINI,21
4000022,MODENA,2025-03-17,PARCO FERRARI,15,4000002,VIA GIARDINI,12
4000022,MODENA,2025-03-18,PARCO FERRARI,17,4000002,VIA GIARDINI,19
4000022,MODENA,2025-03-19,PARCO FERRARI,13,4000002,VIA GIARDINI,16
4000022,MODENA,2025-03-20,PARCO FERRARI,22,4000002,VIA GIARDINI,24
4000022,MODENA,2025-03-21,PARCO FERRARI,29,4000002,VIA GIARDINI,37
4000022,MODENA,2025-03-22,PARCO FERRARI,39,4000002,VIA GIARDINI,49
4000022,MODENA,2025-03-23,PARCO FERRARI,22,4000002,VIA GIARDINI,40
4000022,MODENA,2025-03-24,PARCO FERRARI,15,4000002,VIA GIARDINI,20
4000022,MODENA,2025-03-25,PARCO FERRARI,21,4000002,VIA GIARDINI,27
4000022,MODENA,2025-03-26,PARCO FERRARI,12,4000002,VIA GIARDINI,16
4000022,MODENA,2025-03-27,PARCO FERRARI,20,4000002,VIA GIARDINI,27
4000022,MODENA,2025-03-28,PARCO FERRARI,14,4000002,VIA GIARDINI,18
4000022,MODENA,2025-03-28,PARCO FERRARI,0,4000002,VIA GIARDINI,19
4000022,MODENA,2025-03-30,PARCO FERRARI,18,4000002,VIA GIARDINI,16
4000022,MODENA,2025-03-31,PARCO FERRARI,11,4000002,VIA GIARDINI,10
